time_s,t_from_ride_start_s,phone_ax_ms2,phone_ay_ms2,phone_az_ms2,phone_aT_ms2,phone_aT_smooth_ms2,phone_angle_deg,alex_video_angle_deg,ryan_video_angle_deg
430.04,-146.264,-0.0555,0.006,-0.1016,0.1131,0.1082,0.632,0.0,
430.14,-146.164,-0.014,0.0105,0.0217,0.04,0.1089,0.636,0.0,
430.24,-146.064,-0.0323,-0.0483,0.0314,0.0742,0.1099,0.642,0.0,
430.34,-145.964,-0.0485,-0.059,0.0584,0.1,0.111,0.648,0.0,
430.44,-145.864,-0.0846,0.0766,0.0351,0.13,0.1119,0.654,0.0,
430.54,-145.764,-0.0534,-0.1029,-0.0857,0.1408,0.1127,0.658,0.0,
430.64,-145.664,-0.0739,0.0691,-0.0616,0.1229,0.1134,0.662,0.0,
430.74,-145.564,-0.0019,-0.147,-0.0299,0.1551,0.114,0.666,0.0,
430.84,-145.464,-0.0497,-0.0455,0.0969,0.1195,0.1145,0.669,0.0,
430.94,-145.364,0.015,-0.1556,0.1039,0.1961,0.115,0.672,0.0,
431.04,-145.264,-0.0076,-0.0971,0.2352,0.2581,0.1153,0.673,0.0,
431.14,-145.164,-0.0571,-0.0332,0.0837,0.1084,0.1154,0.674,0.0,
431.24,-145.064,-0.0369,-0.0031,0.1773,0.1783,0.1154,0.674,0.0,
431.34,-144.964,-0.0406,-0.014,-0.0063,0.0425,0.1153,0.673,0.0,
431.44,-144.864,-0.0391,-0.0902,0.0079,0.1031,0.1153,0.673,0.0,
431.54,-144.764,-0.0519,-0.1123,0.0577,0.1471,0.1152,0.673,0.0,
431.64,-144.664,0.0301,-0.1295,-0.0391,0.1348,0.115,0.672,0.0,
431.74,-144.564,-0.0033,-0.0446,0.0787,0.0929,0.1147,0.67,0.0,
431.84,-144.464,0.0427,-0.064,0.0697,0.1064,0.1145,0.669,0.0,
431.94,-144.364,-0.0239,-0.1006,0.1023,0.1438,0.1144,0.668,0.0,
432.04,-144.264,-0.0296,-0.1229,-0.0373,0.1288,0.1144,0.668,0.0,
432.14,-144.164,-0.0659,0.1945,0.0567,0.2272,0.1143,0.668,0.0,
432.24,-144.064,-0.02,-0.0611,-0.0886,0.1114,0.1138,0.665,0.0,
432.34,-143.964,-0.0856,0.1514,-0.0997,0.2021,0.1131,0.661,0.0,
432.44,-143.864,0.0028,-0.0052,-0.048,0.0581,0.1125,0.657,0.0,
432.54,-143.764,-0.0202,-0.0384,-0.0159,0.0459,0.112,0.654,0.0,
432.64,-143.664,0.0399,-0.0286,0.0171,0.0673,0.1116,0.652,0.0,
432.74,-143.564,0.0407,-0.1221,0.0722,0.1544,0.1113,0.65,0.0,
432.84,-143.464,-0.044,0.0448,0.0431,0.0735,0.1109,0.648,0.0,
