time_phone_s,t_from_ride_start_s,time_on_alex_video_s,time_on_ryan_video_s,ax_ms2,ay_ms2,az_ms2,aT_ms2
0.007,-500.6,-341.573,-448.813,1.5904,-0.0279,0.6542,1.72
0.0175,-500.5896,-341.5625,-448.8025,1.3594,-0.068,0.8705,1.62
0.0304,-500.5766,-341.5496,-448.7896,0.5289,-0.4424,0.6844,0.97
0.0435,-500.5636,-341.5365,-448.7765,0.4472,-0.5543,0.3966,0.82
0.0441,-500.563,-341.5359,-448.7759,0.4,-0.3596,0.2747,0.6
0.0561,-500.5509,-341.5239,-448.7639,0.2146,-0.1595,0.225,0.35
0.0687,-500.5383,-341.5113,-448.7513,0.001,0.1221,0.2738,0.3
0.0808,-500.5263,-341.4992,-448.7392,0.4496,0.4869,-1.6252,1.76
0.0932,-500.5139,-341.4868,-448.7268,1.2228,0.7205,-1.4854,2.05
0.0938,-500.5133,-341.4862,-448.7262,1.3378,0.0659,-1.6636,2.14
0.1053,-500.5017,-341.4747,-448.7147,1.7469,-0.4905,-1.3388,2.25
0.1101,-500.4969,-341.4699,-448.7099,2.2025,-0.3605,0.3837,2.26
0.1198,-500.4872,-341.4602,-448.7002,2.0494,-0.2598,1.4696,2.54
0.1321,-500.475,-341.4479,-448.6879,1.6672,-0.2556,1.6911,2.39
0.145,-500.4621,-341.435,-448.675,0.9481,-0.4218,1.2956,1.66
0.1573,-500.4498,-341.4227,-448.6627,0.5009,-0.6504,0.9133,1.23
0.17,-500.4371,-341.41,-448.65,-0.4645,-0.5964,0.529,0.92
0.1824,-500.4246,-341.3976,-448.6376,-0.9025,-0.71,0.1868,1.16
0.1839,-500.4231,-341.3961,-448.6361,-1.2832,-0.9255,0.0697,1.58
0.1952,-500.4118,-341.3848,-448.6248,-1.4259,-1.1774,-0.0923,1.85
0.2076,-500.3995,-341.3724,-448.6124,-1.6125,-1.4091,-0.2679,2.16
0.2202,-500.3868,-341.3598,-448.5998,-2.054,-1.2635,-0.0063,2.41
0.2331,-500.3739,-341.3469,-448.5869,-1.9544,-1.1135,-0.11,2.25
0.2336,-500.3735,-341.3464,-448.5864,-1.9774,-1.153,-0.4575,2.33
0.2632,-500.3438,-341.3168,-448.5568,-1.9133,-1.2069,-0.6517,2.35
0.2874,-500.3197,-341.2926,-448.5326,-0.9881,-0.8703,0.2375,1.34
0.2875,-500.3196,-341.2925,-448.5325,-0.3319,-0.8316,0.865,1.24
0.3001,-500.3069,-341.2799,-448.5199,0.3601,-0.7096,0.8653,1.18
0.3125,-500.2945,-341.2675,-448.5075,1.1994,-1.0057,-0.8892,1.8
0.3252,-500.2818,-341.2548,-448.4948,1.465,-1.0446,-1.5071,2.35
0.3253,-500.2817,-341.2547,-448.4947,1.6311,-1.009,-1.5705,2.48
0.3378,-500.2693,-341.2422,-448.4822,1.4694,-0.9699,-0.6928,1.89
0.3504,-500.2567,-341.2296,-448.4696,1.0331,-0.8326,0.6919,1.5
0.3628,-500.2442,-341.2172,-448.4572,-0.0221,-0.9703,3.38,3.52
0.3754,-500.2316,-341.2046,-448.4446,-0.5022,-1.3289,4.1198,4.36
0.3755,-500.2315,-341.2045,-448.4445,-0.9902,-1.6172,4.1679,4.58
0.3879,-500.2191,-341.1921,-448.4321,-1.4002,-1.6751,3.5968,4.21
0.4004,-500.2066,-341.1796,-448.4196,-1.6447,-1.6002,2.6683,3.52
0.4129,-500.1941,-341.1671,-448.4071,-1.6719,-1.017,-0.168,1.96
