time_s,t_from_ride_start_s,phone_ax_ms2,phone_ay_ms2,phone_az_ms2,phone_aT_ms2,phone_aT_smooth_ms2,phone_angle_deg,alex_video_angle_deg,ryan_video_angle_deg
283.17,-250.334,0.021,0.0189,-0.0456,0.0547,0.0965,0.564,0.0,
283.27,-250.234,0.0949,-0.0084,-0.1628,0.2054,0.0966,0.564,0.0,
283.37,-250.134,0.045,0.1381,-0.0905,0.171,0.0964,0.563,0.0,
283.47,-250.034,0.0468,-0.0065,0.0974,0.1123,0.0962,0.562,0.0,
283.57,-249.934,0.0674,0.0323,-0.0621,0.0967,0.0958,0.56,0.0,
283.67,-249.834,0.0531,-0.0271,0.0067,0.0624,0.0953,0.557,0.0,
283.77,-249.734,0.0573,-0.0389,-0.0573,0.09,0.095,0.555,0.0,
283.87,-249.634,0.0361,0.0969,0.0578,0.1317,0.0947,0.553,0.0,
283.97,-249.534,0.0559,0.0292,0.0705,0.0963,0.0942,0.55,0.0,
284.07,-249.434,0.0482,-0.1082,0.0791,0.1448,0.0937,0.547,0.0,
284.17,-249.334,0.032,-0.0164,0.043,0.0585,0.093,0.543,0.0,
284.27,-249.234,0.026,-0.0647,-0.0209,0.07,0.0926,0.541,0.0,
284.37,-249.134,0.0528,-0.0478,-0.0424,0.09,0.0921,0.538,0.0,
284.47,-249.034,0.0341,0.029,-0.0028,0.0491,0.0917,0.536,0.0,
284.57,-248.934,0.0165,-0.0088,-0.0473,0.0507,0.0915,0.534,0.0,
284.67,-248.834,0.048,-0.065,-0.0569,0.11,0.0911,0.532,0.0,
284.77,-248.734,0.0652,-0.0625,-0.0697,0.1121,0.0905,0.529,0.0,
284.87,-248.634,0.0602,0.0388,-0.0573,0.0903,0.09,0.526,0.0,
284.97,-248.534,0.0454,-0.0517,-0.0474,0.0933,0.0895,0.523,0.0,
285.07,-248.434,0.0707,0.0781,-0.151,0.1833,0.0889,0.519,0.0,
285.17,-248.334,0.0143,0.0093,-0.0258,0.0342,0.0882,0.515,0.0,
285.27,-248.234,0.042,0.0789,0.0202,0.0963,0.0875,0.511,0.0,
285.37,-248.134,0.027,-0.0411,-0.0362,0.0592,0.0869,0.508,0.0,
285.47,-248.034,0.0412,-0.0355,-0.0853,0.1012,0.0864,0.505,0.0,
285.57,-247.934,0.0196,0.0379,0.0948,0.1038,0.086,0.502,0.0,
285.67,-247.834,0.0556,0.0248,-0.1231,0.1344,0.0854,0.499,0.0,
285.77,-247.734,0.0586,-0.0278,0.0129,0.07,0.085,0.496,0.0,
285.87,-247.634,0.0618,0.0434,-0.0104,0.08,0.0846,0.494,0.0,
285.97,-247.534,0.0217,0.0213,0.034,0.0439,0.0842,0.492,0.0,
286.07,-247.434,0.0528,-0.0276,-0.0371,0.07,0.0839,0.49,0.0,
286.17,-247.334,-0.0012,-0.0128,0.0695,0.0722,0.0837,0.489,0.0,
286.27,-247.234,0.0401,-0.0527,0.0406,0.0741,0.0834,0.487,0.0,
286.37,-247.134,0.0448,-0.0129,-0.0433,0.0618,0.0832,0.486,0.0,
286.47,-247.034,0.0302,0.0348,0.041,0.0645,0.083,0.485,0.0,
286.57,-246.934,0.0406,0.0133,-0.0081,0.0472,0.0829,0.484,0.0,
286.67,-246.834,0.0468,-0.0593,0.0601,0.11,0.0829,0.484,0.0,
286.77,-246.734,0.0702,-0.0163,-0.0282,0.118,0.0829,0.484,0.0,
286.87,-246.634,0.0327,-0.0029,0.0372,0.0482,0.0827,0.483,0.0,
286.97,-246.534,0.0158,-0.0208,0.0212,0.03,0.0826,0.482,0.0,
287.07,-246.434,0.0357,0.0037,-0.0305,0.046,0.0826,0.482,0.0,
287.17,-246.334,0.036,-0.0177,-0.0282,0.0553,0.0827,0.483,0.0,
287.27,-246.234,-0.0009,0.0223,-0.0106,0.0372,0.0829,0.484,0.0,
287.37,-246.134,0.0329,-0.0291,-0.0982,0.1061,0.083,0.485,0.0,
287.47,-246.034,0.0464,0.0094,-0.0178,0.05,0.0832,0.486,0.0,
287.57,-245.934,0.0429,0.0318,-0.0115,0.0583,0.0834,0.487,0.0,
287.67,-245.834,0.0173,0.0027,-0.0611,0.0683,0.0837,0.489,0.0,
287.77,-245.734,0.0583,-0.051,0.0412,0.0935,0.0841,0.491,0.0,
287.87,-245.634,0.0206,-0.0252,0.1057,0.1159,0.0843,0.492,0.0,
287.97,-245.534,0.0149,0.0401,-0.1591,0.1656,0.0844,0.493,0.0,
288.07,-245.434,0.0088,-0.0339,0.0116,0.05,0.0844,0.493,0.0,
288.17,-245.334,0.0379,-0.0393,-0.0003,0.062,0.0845,0.494,0.0,
288.27,-245.234,0.0389,-0.0351,-0.1813,0.1916,0.0843,0.492,0.0,
288.37,-245.134,0.0357,0.0359,-0.0185,0.0652,0.0841,0.491,0.0,
288.47,-245.034,0.063,0.0675,-0.0767,0.1256,0.0839,0.49,0.0,
