time,ax,ay,az,atotal
1.477,1.92,-0.77,-0.62,2.15
1.487,1.95,-0.80,-0.62,2.20
1.500,-0.45,-0.48,-0.21,0.69
1.507,0.08,-0.66,-0.63,0.92
1.517,-0.05,-0.30,-0.99,1.04
1.529,-0.02,-0.61,-0.98,1.15
1.537,0.24,-0.91,-1.28,1.59
1.548,0.29,-0.50,-0.67,0.88
1.558,0.10,-0.61,0.03,0.62
1.567,0.15,-0.41,-0.48,0.65
1.577,-0.22,0.33,-0.68,0.79
1.587,-0.80,0.62,-0.65,1.21
1.597,-0.39,-0.12,-1.38,1.43
1.607,0.01,-0.75,-1.51,1.68
1.617,1.01,-1.31,-1.59,2.29
1.627,1.79,-1.52,-1.73,2.92
1.637,2.24,-1.12,-1.76,3.06
1.647,2.98,-0.70,-1.87,3.59
1.657,3.23,-0.69,-3.07,4.51
1.667,3.50,-0.18,-4.12,5.41
1.677,6.66,1.34,-5.43,8.70
1.687,15.71,6.43,-6.56,18.19
1.697,25.57,9.72,-4.00,27.65
1.707,18.60,2.83,-2.62,19.00
1.717,11.64,-1.80,-3.34,12.25
1.727,7.23,-4.87,-3.35,9.34
1.737,3.88,-6.58,-0.03,7.63
1.747,1.13,-5.47,2.80,6.25
1.757,-1.85,-2.43,2.78,4.13
1.767,-4.30,-1.47,1.79,4.88
1.777,-5.82,-2.63,2.54,6.87
1.787,-10.31,-4.47,5.80,12.64
1.797,-19.04,-5.70,7.49,21.24
1.807,-21.26,-3.99,8.36,23.19
1.818,-17.89,-1.90,7.77,19.59
1.827,-11.28,-1.80,5.50,12.68
1.837,-8.50,-2.91,3.01,9.47
1.847,-7.55,-1.88,3.54,8.55
1.857,-7.67,0.91,4.20,8.79
1.867,-8.00,0.60,2.93,8.54
1.877,-7.12,-1.69,1.71,7.51
1.887,-5.66,-1.50,1.55,6.06
1.897,-4.14,-0.22,0.48,4.17
1.907,-3.86,-1.29,-1.32,4.28
1.917,-2.39,-1.65,-2.13,3.60
1.927,-0.88,-2.71,-2.52,3.81
1.937,-1.31,-2.56,-2.71,3.95
1.947,-0.98,-1.59,-2.29,2.95
1.957,-0.25,-0.87,-2.02,2.21
1.967,-0.02,-1.66,-2.98,3.41
1.977,0.11,-3.38,-3.04,4.55
1.987,1.99,-4.76,-4.06,6.56
1.997,4.87,-5.76,-5.36,9.25
2.007,6.85,-6.06,-17.98,20.17
2.017,3.47,-5.14,-13.30,14.68
2.027,-3.62,-2.32,-4.92,6.53
2.037,-4.36,-0.85,-1.37,4.65
2.047,-0.94,-3.27,-1.92,3.91
2.057,1.94,-2.96,-1.65,3.90
2.067,5.61,-0.02,-2.08,5.99
2.077,6.85,1.97,-1.69,7.32
2.086,5.97,2.80,-2.64,7.10
2.097,-0.67,1.34,-6.26,6.44
2.106,-5.30,-2.62,-5.14,7.83
2.117,-2.95,-2.11,-3.18,4.83
2.126,0.04,-0.25,-2.41,2.43
2.137,3.50,-0.55,1.21,3.74
2.146,7.17,0.67,2.92,7.77
2.157,8.53,2.10,3.77,9.56
2.166,5.90,1.08,2.76,6.60
2.177,3.59,0.07,3.55,5.05
2.186,2.99,-0.51,4.72,5.61
2.196,2.80,-1.16,5.15,5.98
2.206,2.12,-0.60,4.42,4.94
