time,ax,ay,az,atotal
583.995,2.06,0.57,-0.27,2.16
583.995,1.96,0.69,0.02,2.07
583.995,1.64,0.60,0.11,1.75
583.995,1.15,0.47,0.28,1.28
583.995,0.72,0.41,0.48,0.96
583.995,0.31,0.33,0.71,0.84
583.995,-0.04,0.26,0.84,0.88
583.995,-0.41,0.20,0.88,0.99
583.995,-0.65,0.19,0.71,0.98
583.995,-0.96,0.12,0.48,1.08
583.995,-1.16,0.15,0.18,1.18
583.995,-1.27,0.31,-0.12,1.31
583.995,-1.29,0.50,-0.47,1.46
583.995,-1.27,0.60,-0.63,1.54
583.995,-1.31,0.55,-0.72,1.59
583.995,-1.47,0.45,-0.64,1.66
583.995,-1.69,0.26,-0.51,1.78
583.995,-1.81,0.02,-0.50,1.88
583.995,-1.82,-0.22,-0.60,1.93
583.995,-1.75,-0.33,-0.74,1.93
583.995,-1.40,-0.35,-0.92,1.71
583.995,-0.90,-0.36,-1.01,1.40
583.995,-0.51,-0.32,-1.00,1.17
583.995,-0.31,-0.28,-0.72,0.83
583.995,-0.40,-0.38,-0.44,0.71
583.995,-0.44,-0.69,-0.07,0.82
583.995,-0.26,-0.84,0.33,0.94
583.995,0.02,-0.84,0.28,0.89
583.995,-0.00,-0.86,0.19,0.88
583.995,0.02,-0.86,-0.11,0.87
583.995,-0.04,-0.67,-0.37,0.76
583.995,-0.08,-0.44,-0.49,0.67
583.995,-0.16,-0.32,-0.48,0.60
583.995,-0.27,-0.28,-0.37,0.53
583.995,-0.20,-0.30,-0.13,0.38
583.995,-0.02,-0.38,-0.00,0.38
583.995,0.09,-0.43,0.12,0.46
583.996,0.27,-0.42,0.17,0.53
583.996,0.47,-0.37,-0.02,0.60
583.996,0.43,-0.30,-0.10,0.54
583.996,0.29,-0.18,-0.16,0.38
583.996,0.10,-0.07,-0.24,0.27
583.996,-0.13,0.07,-0.30,0.34
583.996,-0.40,0.14,-0.33,0.53
583.996,-0.57,0.12,-0.29,0.66
583.996,-0.57,0.02,-0.28,0.63
583.996,-0.48,-0.11,-0.30,0.58
583.996,-0.32,-0.28,-0.31,0.53
583.996,-0.15,-0.50,-0.40,0.66
583.996,-0.01,-0.69,-0.41,0.80
583.996,0.14,-0.69,-0.58,0.91
583.996,0.33,-0.52,-0.63,0.88
583.996,0.47,-0.34,-0.47,0.74
583.996,0.50,-0.16,-0.16,0.55
583.996,0.57,-0.06,0.01,0.58
583.996,0.48,0.02,0.13,0.50
583.996,0.38,-0.01,0.16,0.41
583.996,0.30,-0.12,0.05,0.33
583.996,0.19,-0.21,-0.10,0.31
583.996,0.10,-0.26,-0.22,0.35
583.996,0.06,-0.21,-0.27,0.34
583.996,0.13,-0.15,-0.28,0.34
583.996,0.23,-0.08,-0.24,0.35
583.996,0.33,-0.01,-0.22,0.40
583.996,0.37,0.08,-0.31,0.49
583.996,0.42,0.12,-0.35,0.56
583.996,0.40,0.11,-0.32,0.52
583.996,0.39,0.05,-0.26,0.47
583.996,0.31,0.04,-0.27,0.41
583.996,0.21,0.03,-0.30,0.37
583.996,0.10,0.02,-0.36,0.37
583.996,0.08,-0.02,-0.44,0.45
583.996,-0.02,-0.05,-0.42,0.43
583.996,0.16,-0.13,-0.44,0.48
583.996,0.16,-0.16,-0.38,0.45
583.996,0.17,-0.15,-0.32,0.39
583.996,0.28,-0.13,-0.30,0.43
583.996,0.28,-0.11,-0.30,0.43
583.996,0.36,-0.08,-0.35,0.51
583.996,0.26,0.06,-0.35,0.44
583.996,0.19,0.24,-0.41,0.51
583.996,0.33,0.31,-0.54,0.70
583.996,0.45,0.24,-0.57,0.77
583.996,0.30,0.15,-0.36,0.49
583.996,0.16,0.01,-0.12,0.20
583.996,0.22,-0.20,-0.02,0.30
583.996,0.22,-0.37,0.07,0.44
583.996,0.20,-0.53,0.09,0.57
583.996,0.15,-0.48,0.15,0.53
583.996,0.10,-0.33,0.04,0.35
583.996,0.48,-0.15,-0.39,0.63
583.996,0.63,-0.01,-0.50,0.81
583.996,0.46,0.20,-0.41,0.65
583.996,0.40,0.35,-0.33,0.63
583.996,0.28,0.47,-0.11,0.56
583.996,0.27,0.35,-0.01,0.44
583.996,0.14,0.00,0.09,0.16
583.996,-0.05,-0.26,0.16,0.31
583.996,0.05,-0.45,0.22,0.50
583.996,0.02,-0.49,0.21,0.53
583.996,0.01,-0.50,0.13,0.52
583.996,0.02,-0.37,0.07,0.38
583.996,0.07,-0.16,0.09,0.20
583.996,0.25,-0.05,0.02,0.26
583.996,0.33,-0.07,-0.08,0.35
583.996,0.30,-0.14,-0.12,0.35
583.996,0.17,-0.28,-0.14,0.35
583.996,0.08,-0.33,-0.17,0.37
583.996,0.10,-0.32,-0.20,0.39
583.996,0.20,-0.24,-0.20,0.37
583.996,0.29,-0.13,-0.15,0.35
583.996,0.27,0.01,-0.09,0.28
583.996,0.28,0.06,-0.12,0.31
583.996,0.24,0.01,-0.13,0.27
583.996,0.06,-0.05,0.04,0.09
583.996,0.02,-0.08,0.23,0.25
583.996,0.01,-0.14,0.35,0.38
583.996,0.03,-0.17,0.32,0.37
583.996,0.09,-0.20,0.25,0.33
583.996,0.14,-0.19,0.24,0.34
583.996,0.13,-0.07,0.19,0.24
583.996,0.13,0.06,0.02,0.15
583.996,0.14,0.12,-0.09,0.21
583.996,0.17,0.09,-0.12,0.22
583.996,0.17,0.10,-0.12,0.23
583.996,0.15,0.07,-0.09,0.19
583.996,0.14,0.08,-0.04,0.16
583.996,0.14,0.10,-0.02,0.18
583.997,0.15,0.11,0.04,0.20
583.997,0.14,0.13,0.10,0.22
583.997,0.14,0.13,0.11,0.22
583.997,0.13,0.08,0.08,0.17
583.997,0.05,0.05,0.09,0.11
583.997,0.04,0.06,0.06,0.09
583.997,0.05,0.09,0.06,0.12
583.997,0.03,0.11,-0.00,0.12
583.997,-0.00,0.10,-0.05,0.11
583.997,0.01,0.09,-0.02,0.09
583.997,0.08,0.09,0.02,0.12
583.997,0.13,0.12,0.07,0.19
583.997,0.15,0.10,0.13,0.22
583.997,0.12,0.10,0.21,0.26
583.997,0.13,0.10,0.26,0.30
583.997,0.15,0.13,0.27,0.33
583.997,0.14,0.13,0.19,0.27
583.997,0.15,0.10,0.06,0.19
583.997,0.13,-0.01,-0.04,0.13
583.997,0.07,-0.15,-0.07,0.18
583.997,0.09,-0.07,-0.16,0.20
583.997,0.11,0.20,-0.15,0.27
583.997,0.09,0.32,0.12,0.35
583.997,0.13,0.34,0.18,0.40
583.997,0.14,0.28,0.23,0.39
583.997,0.17,0.17,0.24,0.34
583.997,0.24,0.14,0.15,0.32
583.997,0.33,0.12,0.18,0.39
583.997,0.34,0.08,0.20,0.40
583.997,0.30,0.08,0.00,0.31
583.997,0.27,0.11,-0.05,0.29
583.997,0.18,0.10,0.07,0.22
583.997,0.10,0.04,0.10,0.15
583.997,0.08,0.12,0.09,0.17
583.997,0.02,0.21,0.11,0.24
583.997,0.03,0.26,0.14,0.30
583.997,0.07,0.27,0.23,0.37
583.997,0.09,0.18,0.25,0.32
583.997,0.08,0.10,0.23,0.26
583.997,0.10,0.11,0.30,0.33
583.997,0.11,0.19,0.30,0.37
583.997,0.07,0.23,0.23,0.33
583.997,0.05,0.23,0.09,0.25
583.997,0.01,0.20,0.04,0.20
583.997,-0.01,0.05,0.09,0.11
583.997,0.01,0.05,0.09,0.10
583.997,0.04,0.04,0.00,0.06
583.997,0.09,0.06,-0.19,0.22
583.997,0.10,0.06,-0.13,0.17
583.997,0.10,0.13,-0.01,0.16
583.997,0.09,0.17,0.05,0.20
583.997,0.05,0.16,0.05,0.18
583.997,0.08,0.18,0.11,0.22
583.997,0.09,0.19,0.22,0.30
583.997,0.13,0.22,0.25,0.36
583.997,0.12,0.21,0.34,0.42
583.997,0.08,0.21,0.29,0.37
583.997,0.02,0.24,0.10,0.26
583.997,-0.04,0.24,-0.04,0.25
583.997,-0.04,0.20,-0.22,0.31
583.997,-0.04,0.21,-0.36,0.42
583.997,0.04,0.19,-0.40,0.44
583.997,0.18,0.18,-0.26,0.37
583.997,0.35,0.25,0.13,0.45
583.997,0.44,0.30,0.49,0.72
583.997,0.40,0.36,0.66,0.85
583.997,0.23,0.39,0.70,0.83
583.997,0.03,0.39,0.56,0.69
583.997,-0.10,0.41,0.44,0.61
583.997,-0.14,0.42,0.35,0.56
583.997,-0.18,0.40,0.30,0.53
583.997,-0.20,0.37,0.30,0.52
583.997,-0.19,0.33,0.26,0.47
583.997,-0.17,0.26,0.22,0.38
583.997,-0.18,0.26,0.19,0.37
583.997,-0.15,0.24,0.18,0.34
583.997,-0.07,0.23,0.18,0.30
583.997,0.04,0.23,0.19,0.30
583.997,0.15,0.22,0.24,0.36
583.997,0.19,0.21,0.24,0.37
583.997,0.18,0.25,0.22,0.38
583.997,0.18,0.30,0.26,0.44
583.997,0.19,0.35,0.32,0.51
583.997,0.13,0.37,0.33,0.51
583.997,0.05,0.34,0.38,0.51
583.997,-0.00,0.32,0.36,0.48
583.997,0.02,0.31,0.27,0.41
583.997,0.10,0.35,0.17,0.41
583.997,0.10,0.39,0.18,0.44
583.997,0.07,0.42,0.20,0.47
583.997,0.07,0.42,0.18,0.46
583.997,0.07,0.38,0.24,0.46
583.997,0.13,0.35,0.33,0.50
583.997,0.21,0.33,0.30,0.49
583.997,0.21,0.31,0.27,0.46
583.997,0.20,0.27,0.27,0.43
583.997,0.17,0.23,0.28,0.40
583.997,0.13,0.20,0.18,0.30
583.997,0.12,0.16,0.20,0.28
583.997,0.10,0.17,0.24,0.31
583.997,0.10,0.22,0.25,0.35
583.997,0.08,0.24,0.21,0.33
583.997,0.05,0.27,0.24,0.36
583.997,0.03,0.29,0.37,0.47
583.997,0.01,0.31,0.40,0.51
583.997,-0.02,0.30,0.25,0.39
583.997,-0.09,0.23,0.11,0.27
583.997,-0.10,0.24,0.21,0.33
583.997,-0.06,0.20,0.11,0.24
583.998,-0.06,0.19,0.18,0.27
583.998,-0.04,0.21,0.21,0.30
583.998,-0.02,0.21,0.06,0.22
583.998,-0.02,0.17,-0.06,0.18
583.998,-0.04,0.16,-0.02,0.16
583.998,-0.03,0.19,-0.04,0.20
583.998,-0.03,0.23,0.01,0.23
583.998,-0.00,0.21,0.11,0.23
583.998,0.02,0.19,0.21,0.29
583.998,0.01,0.20,0.27,0.34
583.998,-0.01,0.23,0.28,0.36
583.998,-0.07,0.17,0.31,0.36
583.998,-0.08,0.23,0.30,0.39
583.998,-0.09,0.28,0.25,0.39
583.998,-0.07,0.30,0.17,0.35
583.998,-0.04,0.32,0.03,0.32
583.998,0.00,0.36,-0.00,0.36
583.998,0.08,0.34,0.05,0.35
583.998,0.16,0.30,0.15,0.37
583.998,0.20,0.30,0.24,0.43
583.998,0.20,0.28,0.26,0.43
583.998,0.15,0.28,0.24,0.40
583.998,0.11,0.33,0.22,0.41
583.998,0.08,0.34,0.25,0.43
583.998,-0.40,0.14,-0.87,0.97
583.998,0.11,0.24,0.20,0.33
583.998,-0.35,0.28,-0.86,0.97
584.007,-0.14,0.29,-0.72,0.79
584.017,0.15,0.44,-0.48,0.67
584.026,0.44,0.26,-0.34,0.62
584.036,0.48,0.11,0.07,0.50
584.046,0.48,-0.15,0.28,0.58
584.056,1.01,-0.63,0.10,1.19
584.066,1.79,-1.35,-0.32,2.26
584.076,2.57,-1.47,-0.08,2.96
584.086,1.53,-0.58,0.39,1.69
584.096,0.75,-0.10,0.57,0.94
584.106,0.02,0.47,1.19,1.28
584.116,-0.49,0.62,1.33,1.55
584.126,-0.72,0.58,1.11,1.45
584.136,-0.99,0.73,0.89,1.52
584.146,-0.97,0.83,0.67,1.44
584.156,-0.77,0.65,0.59,1.16
584.166,-0.39,0.44,0.77,0.96
584.176,-0.20,0.39,0.96,1.06
584.186,0.01,0.20,0.76,0.79
584.196,0.27,-0.06,0.31,0.42
584.206,0.64,-0.42,-0.08,0.77
584.216,1.25,-0.46,-0.37,1.38
584.227,0.64,-0.24,-0.61,0.91
584.236,-0.58,0.43,-0.70,1.00
584.246,-0.75,0.62,-0.83,1.28
584.256,-0.42,0.08,-0.91,1.01
584.266,0.28,-0.24,-0.83,0.91
584.276,0.47,-0.31,-0.71,0.91
584.286,0.41,-0.23,-0.54,0.71
584.296,0.37,-0.18,-0.37,0.56
584.306,0.19,0.02,-0.33,0.38
584.316,0.02,0.16,-0.33,0.37
584.326,-0.21,0.13,-0.42,0.49
584.336,-0.23,-0.03,-0.57,0.61
584.346,-0.07,-0.03,-0.50,0.51
584.356,0.01,0.04,-0.42,0.42
584.366,0.07,0.17,-0.28,0.33
584.376,0.12,0.18,-0.27,0.35
584.386,0.14,0.19,-0.25,0.35
584.396,0.02,0.22,-0.06,0.23
584.406,-0.13,0.21,0.15,0.29
584.416,-0.12,-0.15,-0.03,0.19
584.425,-0.10,-0.04,0.10,0.15
584.436,-0.12,0.03,0.01,0.12
584.445,0.18,-0.03,-0.08,0.20
584.456,0.53,-0.09,-0.11,0.55
584.465,0.74,-0.22,-0.21,0.80
584.475,0.83,-0.19,-0.26,0.89
584.485,0.78,-0.02,-0.14,0.79
584.495,0.63,-0.02,-0.14,0.65
584.505,0.59,0.01,-0.15,0.61
584.515,0.44,0.08,-0.12,0.46
584.526,0.22,0.20,-0.08,0.31
584.535,0.10,0.20,-0.00,0.22
584.545,0.16,-0.01,0.06,0.18
584.555,0.20,-0.24,0.20,0.37
584.565,0.13,-0.22,0.38,0.46
584.576,0.16,-0.21,0.50,0.56
584.585,0.24,-0.19,0.45,0.54
584.595,0.29,-0.21,0.30,0.47
584.605,0.29,-0.17,0.13,0.36
584.615,0.36,-0.07,-0.04,0.37
584.625,0.43,-0.02,-0.18,0.46
584.636,0.33,0.01,-0.26,0.41
584.645,0.11,0.10,-0.28,0.31
584.655,0.10,0.22,-0.23,0.33
584.665,0.14,0.19,-0.22,0.32
584.675,0.18,0.13,-0.15,0.27
584.685,0.28,-0.01,0.03,0.28
584.695,0.25,-0.19,0.29,0.43
584.705,0.09,-0.13,0.58,0.60
584.715,-0.01,-0.04,0.64,0.65
584.725,-0.05,-0.04,0.41,0.41
584.735,-0.05,-0.07,0.07,0.11
584.745,-0.05,-0.04,-0.23,0.24
584.755,-0.01,0.02,-0.33,0.33
584.765,0.09,0.06,-0.24,0.26
584.775,0.25,0.01,-0.15,0.29
584.785,0.38,-0.07,-0.13,0.41
584.795,0.37,-0.12,-0.11,0.41
584.805,0.33,-0.06,-0.05,0.34
584.815,0.27,0.07,0.01,0.28
584.825,0.21,0.09,-0.02,0.23
584.835,0.15,0.07,-0.12,0.20
584.845,0.12,0.04,-0.20,0.23
584.855,0.11,0.07,-0.27,0.31
584.865,0.13,0.19,-0.30,0.38
584.875,0.15,0.26,-0.31,0.43
584.885,0.19,0.13,-0.25,0.34
584.895,0.18,-0.06,-0.10,0.21
584.905,0.03,-0.16,0.12,0.20
584.915,-0.04,-0.19,0.34,0.39
584.925,0.02,-0.24,0.48,0.54
584.935,0.09,-0.20,0.50,0.55
584.945,0.10,-0.07,0.40,0.42
584.955,0.17,-0.06,0.20,0.27
584.965,0.31,-0.16,-0.05,0.35
584.975,0.38,-0.19,-0.24,0.49
584.985,0.35,-0.07,-0.33,0.49
584.994,0.43,0.05,-0.20,0.47
585.005,0.27,0.21,-0.26,0.44
585.015,-0.24,0.35,-0.84,0.94
585.025,-0.44,0.36,-1.24,1.37
585.035,-0.14,0.21,-1.26,1.28
585.044,0.06,0.25,-0.69,0.74
585.054,0.14,0.15,-0.11,0.24
585.064,0.33,-0.02,0.42,0.53
585.074,0.32,0.07,0.49,0.59
