# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-06-04 10:22:43.221
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.232593,-5.9135,0.5952,-2.7403,6.54
1.241853,-10.9390,5.5041,2.7648,12.55
1.251503,-13.8239,9.6405,7.5911,18.48
1.257767,-16.2192,12.2847,7.5320,21.70
1.267327,-17.5462,13.5948,4.6289,22.67
1.276290,-17.7442,12.3922,3.2273,21.88
1.285834,-16.8196,10.2894,2.0905,19.83
1.295397,-13.4709,7.1581,0.6236,15.27
1.312817,-11.5453,4.2250,-0.5253,12.31
1.314306,-9.2578,1.8227,-2.3675,9.73
1.325317,-8.2114,-0.1501,-4.6405,9.43
1.342649,-2.6459,-3.0494,-6.5030,7.65
1.352138,1.3264,-5.1348,-6.3043,8.24
1.361986,6.9267,-8.4678,-7.3201,13.16
1.378636,13.2399,-12.1942,-7.3187,19.43
1.380438,18.5980,-14.4980,-4.1493,23.94
1.391020,19.2467,-15.1871,0.0821,24.52
1.400463,16.3257,-14.1986,4.6975,22.14
1.410191,12.5966,-12.2425,6.7493,18.82
1.419065,9.5238,-10.2036,6.5772,15.43
1.428313,8.1976,-9.5489,4.2265,13.28
1.437227,6.6330,-9.7448,-0.7154,11.81
1.453344,3.6155,-8.7457,-2.9021,9.90
1.456161,0.2867,-6.2853,-2.0053,6.60
1.466094,-5.3027,-2.0529,-0.5889,5.72
1.476535,-10.7517,4.0141,1.8436,11.62
1.484653,-12.8566,9.3381,5.0239,16.67
1.503870,-14.3012,12.4743,5.7098,19.82
1.516586,-12.9511,10.6072,3.1309,17.03
1.529441,-11.1641,8.2059,0.6918,13.87
1.532205,-9.5827,5.8846,-2.2379,11.47
1.543166,-8.3560,3.7724,-4.8091,10.35
1.561293,-7.3623,1.9414,-5.8589,9.61
1.561724,-6.9098,0.7325,-6.5474,9.55
1.570392,-6.5496,0.4704,-6.2382,9.06
1.585086,-5.9542,0.3937,-6.2890,8.67
1.589158,-4.8690,0.2100,-6.3739,8.02
1.600047,-2.7293,-0.0521,-6.0575,6.64
1.610200,-0.6464,-0.5441,-5.5691,5.63
1.617690,0.9185,-0.9179,-5.0377,5.20
1.626507,2.5878,-1.7745,-4.7552,5.70
1.636146,4.9972,-3.7082,-4.2988,7.56
1.645592,8.3687,-6.2347,-4.2986,11.29
1.662233,11.0421,-8.2271,-3.5626,14.22
1.664332,12.3531,-9.6211,-0.8443,15.68
1.675319,12.4734,-10.0172,2.8631,16.25
1.686145,11.8234,-9.8878,4.3086,16.00
1.702446,8.2469,-9.2005,4.4925,13.15
1.711644,5.8504,-7.4784,5.7090,11.08
1.728204,2.0538,-5.6187,7.6508,9.71
1.731659,-1.1076,-3.2126,9.4422,10.04
1.741998,-4.6397,-0.6735,10.6607,11.65
1.751324,-7.9474,1.9364,12.7251,15.13
1.760737,-10.0366,4.2996,11.7597,16.05
1.769153,-11.0569,5.3395,8.0012,14.66
1.777865,-11.8213,6.9091,4.1297,14.30
1.787495,-11.8314,8.3314,1.3780,14.54
1.804826,-11.4413,8.2566,-0.2403,14.11
1.806300,-11.0848,7.4718,-2.1272,13.54
1.817112,-10.5358,6.6088,-4.9628,13.39
1.827215,-10.4355,5.8954,-8.1259,14.48
1.834963,-10.3420,5.4008,-10.8273,15.92
1.844438,-9.7255,4.7622,-12.8389,16.80
1.863182,-8.8041,2.5282,-14.1066,16.82
1.875286,-8.0259,1.3892,-11.9352,14.45
1.887242,-7.6798,-0.1283,-9.6976,12.37
1.892352,-6.8276,-2.8943,-6.7993,10.06
1.901312,-3.9577,-6.3047,-3.4509,8.20
1.911266,-0.6501,-8.9028,-0.0052,8.93
1.920307,2.5074,-10.5080,4.7653,11.81
1.929320,6.9109,-12.2808,9.1659,16.81
1.946485,12.2112,-13.7953,12.6096,22.33
1.948211,17.3179,-16.7776,18.7659,30.55
1.959544,20.5713,-18.6125,16.0703,32.06
1.969511,19.3008,-15.7850,11.5175,27.47
1.977475,13.5132,-11.8695,10.4410,20.80
1.986064,8.1951,-9.3126,12.7270,17.77
1.995728,6.2004,-8.3376,11.4588,15.47
2.005019,3.8658,-7.6450,8.0879,11.78
2.022867,1.1421,-6.3097,4.7381,7.97
2.037346,-3.3396,-3.1137,0.9257,4.66
2.042873,-5.2022,-0.6271,-0.3830,5.25
2.052992,-7.6647,2.2971,-2.1923,8.30
2.062136,-10.0876,5.2356,-3.7680,11.97
2.072083,-12.2141,8.4771,-4.9770,15.68
2.088412,-13.1759,10.7422,-6.1059,18.06
2.090123,-13.3262,11.4874,-7.3128,19.05
2.101011,-13.5283,11.2494,-9.2296,19.87
2.110917,-13.1925,10.2100,-11.4863,20.25
2.118786,-11.6713,8.2190,-12.5868,19.03
2.135020,-10.7866,6.1583,-12.6272,17.71
2.140874,-10.2376,4.1137,-12.2217,16.47
2.152058,-9.2035,1.6019,-11.4446,14.77
2.163230,-7.7619,-1.2786,-10.2512,12.92
2.165846,-6.0078,-3.9263,-8.6606,11.25
2.179041,-3.9939,-5.9298,-6.7658,9.84
2.185046,-1.4376,-7.7308,-3.7429,8.71
2.194190,2.3587,-10.4902,0.6948,10.77
2.206989,10.1593,-14.0606,10.4330,20.24
2.223227,21.1767,-19.3835,21.5861,35.92
2.235436,22.6089,-20.7674,26.0808,40.28
2.241782,18.4538,-20.1330,26.0710,37.76
2.252005,13.9849,-16.2682,22.4216,31.03
2.262854,8.1880,-12.8045,15.8251,21.94
2.270434,3.5122,-9.7160,11.1669,15.21
2.279420,-0.7612,-6.3047,8.2526,10.41
2.288738,-5.4862,-1.6619,7.1363,9.15
2.298419,-8.8224,1.0586,3.1298,9.42
2.309792,-11.0140,2.9496,-0.8754,11.44
2.319925,-12.5434,5.3744,-6.0843,14.94
2.327058,-11.8981,6.8138,-11.3255,17.78
2.336070,-10.8914,6.3388,-15.7557,20.18
2.345722,-10.6126,6.1201,-19.3336,22.89
2.355296,-9.5175,5.9096,-21.3803,24.14
2.370901,-8.8981,4.7990,-21.5898,23.84
2.374816,-8.8189,3.4394,-20.8273,22.88
2.384794,-9.1028,2.3569,-18.9606,21.16
2.394899,-9.5032,1.3647,-17.2540,19.75
2.412194,-10.0302,-0.6077,-12.8590,16.32
2.421326,-9.5295,-1.0319,-10.5008,14.22
2.430830,-9.3871,-1.0601,-8.6601,12.82
