time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
494.058698,-0.0458,-0.018979675394115762,0.0047,-0.020428679363662775,-0.096,-0.05396299546476026,0.11,0.08557598618157372
494.074722,-0.0173,-0.018897740009036944,-0.0523,-0.021983377931288982,-0.1378,-0.058052605442089025,0.15,0.08871862100198474
494.075911,-0.0342,-0.019644191715913188,-0.0497,-0.023335408276104152,-0.1264,-0.06138662468881639,0.14,0.09122015168481476
494.090646,-0.039,-0.020588377485868642,-0.0421,-0.02425075421385517,-0.1057,-0.06354825275277656,0.12,0.0926240467245799
494.091682,-0.0652,-0.022764554193875047,-0.037,-0.024872668642447596,-0.08,-0.06435077700873867,0.11,0.09347165420142967
494.106945,-0.0771,-0.02541506374539334,-0.0463,-0.025917904318425763,-0.0809,-0.0651580561790441,0.12,0.09476571985014041
494.126055,-0.0696,-0.02757042648952049,-0.0477,-0.02698044557118548,-0.0208,-0.06299424856055415,0.09,0.09453324571110917
494.126338,-0.0437,-0.028357234953446317,-0.0088,-0.026093594567713017,0.0543,-0.057272577899063704,0.07,0.09333650201788433
494.141333,-0.0681,-0.03029590641913186,0.0326,-0.023230492393678234,0.0598,-0.05156172044057279,0.1,0.09366155069993876
494.141943,-0.1068,-0.03402781342307665,0.1001,-0.017214370813498806,-0.0133,-0.04969529505322778,0.15,0.09640976773896612
494.157575,-0.1115,-0.03780694447560949,0.1413,-0.009481962481133008,-0.1148,-0.052871134318923985,0.21,0.10195075467852874
494.173401,-0.0063,-0.036270020354848054,0.0679,-0.005707232604004568,-0.0379,-0.052140835083854524,0.08,0.10087998615762489
494.174191,0.029,-0.033086116922904245,0.0253,-0.004194684672101906,0.0254,-0.048358355323666495,0.05,0.0983980356133505
494.189656,0.0497,-0.029047769755933303,-0.0125,-0.004599822005170106,0.0146,-0.0452872160395852,0.05,0.09603715582733341
494.190679,0.0299,-0.02617226879222924,-0.0531,-0.00696568434638132,-0.0625,-0.04612686403765422,0.09,0.09574266042112202
494.205872,-0.0042,-0.025100450802364397,-0.0795,-0.010503943646557842,-0.1366,-0.05054018774313449,0.16,0.09887716479082338
494.222001,-0.036,-0.025632136129078324,-0.0654,-0.013181800054042826,-0.2463,-0.060089446877615735,0.26,0.10673681528883198
494.224284,-0.086,-0.028576909976440357,-0.0128,-0.013163175661162688,-0.215,-0.06764605922504911,0.23,0.11274965356742554
