time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
4.5,0.0,0.0,0.0,0,0,1,0.0,0.0
7.5,0.0,0.0,0.0,0,0,1,0.0,0.0
10.5,0.0,0.0,0.0,0,0,1,0.0,0.0
13.5,0.0,0.0,0.0,0,0,1,0.0,0.0
16.5,15.825637267701225,9.87962673718745,16.137171373319248,8,2,0,15.825626133451074,5.275208711150357
19.5,27.349978345453454,26.21410499802995,27.483698339698584,3,1,0,27.34995802786014,12.633458483386951
22.5,34.497229189128355,12.547571000052987,35.96051065458884,2,1,0,34.49720219518177,19.921373053985224
25.5,64.48946084418688,10.824097529905243,64.44423356883516,11,2,0,64.48937852997484,34.7773748793151
28.5,59.99036899339974,6.653465681253456,59.50258128448685,17,2,0,59.990300984030995,43.18168358088707
31.5,62.23723392652453,4.74558804782802,61.88100550481178,34,2,0,62.23715930699731,49.53350882292382
34.5,43.16889672706035,5.639705890091,44.48966386269732,28,2,0,43.16885988032285,47.411959175390166
37.5,30.199962616234792,6.957427310548515,31.32033074325997,14,2,0,30.199939754468005,41.67461936841612
40.5,25.115066945921093,7.034701598934911,27.01034614700726,19,2,0,25.115048532988563,36.1547624232736
43.5,24.477112173827656,14.013799291725984,23.428580713437142,16,2,0,24.47709429161514,32.26220637938745
46.5,34.607129589139674,8.359253006665693,24.37807228453591,42,2,0,34.60710248411955,33.04383841429815
49.5,30.238529204196304,12.978542516175226,33.834092836724,58,2,0,30.238506307019055,32.108727711871786
52.5,38.88516126154734,22.837132309284623,38.63763946703522,104,2,0,38.88512958297016,34.367528335571244
55.5,43.756766355382865,26.89886198010757,43.746699330816654,131,2,0,43.75672874359429,37.497261804912256
58.5,50.91193910132046,32.39332929132183,51.91808772970478,130,2,0,50.91189074610299,41.96880478530917
61.5,54.92115149348507,39.66796055966188,54.51754309630153,116,2,0,54.921095559127785,46.28623504324871
64.5,60.392307710992256,42.061598911801084,59.61169948210003,125,2,0,60.392238586470306,50.98823622432258
67.5,64.03022787173884,52.00285167459939,63.596353989681134,137,2,0,64.03014722691496,55.33553989185337
70.5,63.97038634493334,54.36491476501435,63.84316229072544,100,2,0,63.97030591360137,58.21379523243604
73.5,64.33310309407258,55.12730079699246,63.898504266737405,118,2,0,64.3330213544967,60.25353727312293
76.5,64.0382721014129,52.287917314503986,63.72016292443098,124,2,0,64.03819142782042,61.5150886580221
79.5,64.16064289907926,49.77876817023111,63.90056579834031,90,2,0,64.16056178579645,62.39691303394689
82.5,63.72547406313609,53.640227843213445,63.856097897369075,70,2,0,63.72539449612979,62.83974018800786
85.5,63.47326583033038,44.281526638232215,63.43454663602231,49,2,0,63.473187137893525,63.05088917130308
88.5,63.47005047746841,43.70222993531193,63.44816292860852,67,2,0,63.46997179608164,63.190583379562604
91.5,61.39925923738431,49.95410525112395,62.33088470875827,68,2,0,61.399187194128665,62.59345131775129
94.5,63.306557369502265,43.45407062176239,63.12722298128908,58,2,0,63.30647924673125,62.831127294077945
97.5,63.320595979921784,40.95368802138552,63.03475572064155,71,2,0,63.32051780943338,62.99425746586309
100.5,60.616276085809744,47.44590461785216,62.04693489449316,74,2,0,60.61620632788072,62.201573753202304
103.5,63.006652910971226,48.85183271133962,62.49073993972807,68,2,0,63.00657579659357,62.46990776766606
106.5,63.72397439815817,48.5670571497944,63.61099215546146,67,2,0,63.72389483639822,62.887903457243446
109.5,63.6061525652226,45.93587607395984,63.673957912631344,79,2,0,63.60607341391493,63.12729344280061
112.5,60.47214474092386,49.57562364486897,62.018139642527636,68,2,0,60.47207539161702,62.24222075907275
115.5,62.77780482389318,45.44682369624797,62.1463165425207,59,2,0,62.777728465155114,62.42072332776688
118.5,64.29831314142949,45.60761852653743,64.20939504886105,65,2,0,64.29823152882463,63.04655939478613
121.5,60.9324294690243,49.99878701070913,61.7075908336343,68,2,0,60.93235880185757,62.341825863809945
124.5,62.0452122695926,45.4185912676268,62.49001714657114,51,2,0,62.04513825294107,62.24292999352032
127.5,63.638449405528746,45.099790227739106,61.44260040046842,59,2,0,63.63837014204851,62.708076709696385
130.5,62.953752182417254,47.58828166809213,63.23806628749299,67,2,0,62.95367524376418,62.789942887718986
133.5,62.852889271091705,51.31362152623817,63.49933947960215,56,2,0,62.852812665728166,62.81089948038871
136.5,63.64082227788957,49.21573750996244,63.64674399457568,62,2,0,63.64074300615787,63.087513988978436
139.5,62.09234623480456,43.69784693697117,62.09152723260957,66,2,0,62.09227207087689,62.75576668294459
142.5,57.16681919658945,47.41832060145789,58.09593542508794,74,2,0,57.16675832266634,60.89276389618517
145.5,55.55216860013729,43.31950506783269,56.523581013002,79,2,0,55.55211133504917,59.11254637580651
148.5,55.99309229125468,36.63957073156508,55.55317260018578,129,2,0,55.99303407068721,58.072708940766745
151.5,49.32034824861309,33.201627875633676,48.864442013049484,73,2,0,49.32030254800665,55.15524014318005
154.5,52.5825159416115,30.173117526578114,52.58246459734445,79,2,0,52.58246459734445,54.297648294568184
157.5,43.4272654752946,19.640215994888415,42.86958099327147,87,2,0,43.427228294148236,50.67417496109488
160.5,63.85972768201126,22.313918819455704,63.859647643071824,46,2,0,63.859647643071824,55.069332521753864
