time,theta_apparent,lo,hi,n,sides,theta,theta_ema
4.5,9.551504668451667,5.575199184306881,8.916536201347412,5,1,8.066071492928446,8.066071492928446
7.5,8.71101738830511,5.1808299820193895,7.470892492836606,4,1,7.357953830609268,7.830032272155387
10.5,24.80169658407934,20.72123815912676,20.779565406920398,2,1,20.77592027268163,12.1453282723308
13.5,57.8864770393953,45.74372791507329,45.74372791507329,1,1,45.74372791507329,23.344794819911634
16.5,4.158070638517931,2.8458478696342624,3.6011881944673565,3,1,3.5152099881939254,16.734933209339065
22.5,10.929443117994193,6.667845432097406,9.307677149229702,3,1,9.225875570469917,14.231913996382684
25.5,50.481400087306085,3.9524485499965034,38.45152892618778,5,2,40.71644390798749,23.060090633584288
28.5,5.1729161383505495,3.962481929659918,4.341593658392024,3,2,4.372553343682203,16.83091153695026
31.5,59.03404656396565,22.4181772177724,46.421557500801086,5,2,46.47589715704435,26.71257341031496
34.5,7.36779664081461,3.4360834546465924,9.243048622982826,10,2,6.2253403988308875,19.883495739820273
43.5,26.979379112004906,5.287783750780005,30.80085250033481,5,1,22.558469263954475,20.77515358119834
49.5,50.36260087478564,10.794258074244258,41.86073137393709,4,1,40.63205322629875,27.394120129565145
52.5,4.649887658106869,3.9307421772021014,3.9307421772021014,1,1,3.9307421772021014,19.572994145444135
58.5,9.357734630828322,6.273460351871591,8.011401490981502,2,1,7.902861938347162,15.682950076411812
61.5,57.560748945645976,4.758001966387732,45.54609913550175,5,1,45.53336122057489,25.633087124466172
64.5,57.51282047235446,2.7838738832638086,45.59187576346902,12,1,45.50231446832792,32.25616290575343
67.5,31.497909944520988,8.516461315183024,27.362960114317325,2,1,26.2188980583324,30.24374128994642
73.5,62.85005848144803,22.1535990557326,48.833154171256105,7,1,48.80161702625499,36.42969986871594
76.5,9.386167941851978,4.790152012195757,8.080967019803115,19,1,7.926812551337795,26.928737429589898
79.5,33.93364728483836,3.77554252958219,31.776351020243577,12,2,28.16711538463425,27.34153008127135
82.5,27.118216987023484,21.054516046713236,22.727720941931135,4,1,22.67173940035925,25.784933187633985
85.5,26.387237287170986,21.328271277976945,22.137850507805965,4,1,22.074853350686862,24.548239908651613
88.5,27.005484775426304,17.40792617165319,22.943059898314235,6,1,22.579771004399667,23.892083607234298
94.5,57.991997364932686,45.81163900268258,45.81163900268258,1,1,45.81163900268258,31.19860207238373
97.5,3.5460609998665054,2.998025456474366,2.998025456474366,1,1,2.998025456474366,21.79840986708061
100.5,14.34898114399169,12.096822635165367,12.096822635165367,1,1,12.096822635165367,18.5645474564422
103.5,13.851539551603132,11.679914431105596,11.679914431105596,1,1,11.679914431105596,16.26966978133
109.5,24.79150054789431,4.2490357012492215,20.8252775506196,13,2,20.767549241978198,17.7689629348794
112.5,4.253600275672739,3.595928280356169,3.595928280356169,1,1,3.595928280356169,13.044618050038325
115.5,5.903048346916761,2.763967074500275,5.0174534549469785,16,1,4.989131226728089,10.35945577560158
124.5,58.04275256886833,33.520309718126995,44.59251451865164,2,2,45.844262459587085,22.187724670263414
127.5,4.811360614774159,2.7743659166329118,3.8756766413182886,3,2,4.067151685666042,16.147533675397625
130.5,21.391740444058485,4.833014679520618,16.824585841468693,5,2,17.964556564485676,16.75320797176031
133.5,43.860447914512406,21.940405775802187,35.96914848746186,7,1,35.868307462255494,23.124907801925374
