video,steady_theta_deg,sd,g_tan_theta,eps_deg,roll_deg
Videos\Alex's persepctive\probably trial 1.MOV,48.24231636964898,1.461789918899313,10.988209832886577,29.03574570674371,1.32
Videos\Alex's persepctive\probably trial 2.MOV,47.13569159696114,1.2779824670265623,10.570013992190079,32.258997584558436,0.0
Videos\Alex's persepctive\trial 3.MOV,45.17085529066268,0.8267598374015931,9.868681754318747,37.210669440560714,0.0
Videos\Alex's persepctive\trial 4.MOV,46.03346897088713,1.3443476972355906,10.170434911045287,34.227233263818874,0.96
"Videos\Physics video, Ryan Perspective\probably trial 1.mp4",53.81178823020177,0.5973992938664537,13.409453158993577,25.41327065336287,0.94
"Videos\Physics video, Ryan Perspective\trial 2.mp4",62.83731435815567,0.781180290017857,19.1188119941425,6.840016219607811,0.0
"Videos\Physics video, Ryan Perspective\trial 3.mp4",58.117497584027625,0.8404472859053072,15.771157768760018,17.052960869674177,4.45
"Videos\Physics video, Ryan Perspective\trial 4.mp4",63.486953391647134,0.741410731232047,19.664601256106778,0.06709109918552492,1.23
