time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
1.5,0.0,0.0,0.0,0,0,1,0.0,0.0
4.5,0.0,0.0,0.0,0,0,1,0.0,0.0
7.5,0.0,0.0,0.0,0,0,1,0.0,0.0
10.5,0.0,0.0,0.0,0,0,1,0.0,0.0
13.5,0.0,0.0,0.0,0,0,1,0.0,0.0
16.5,0.0,0.0,0.0,0,0,1,0.0,0.0
19.5,0.0,0.0,0.0,0,0,1,0.0,0.0
22.5,0.0,0.0,0.0,0,0,1,0.0,0.0
25.5,0.0,0.0,0.0,0,0,1,0.0,0.0
28.5,0.0,0.0,0.0,0,0,1,0.0,0.0
31.5,0.0,0.0,0.0,0,0,1,0.0,0.0
34.5,0.0,0.0,0.0,0,0,1,0.0,0.0
37.5,0.0,0.0,0.0,0,0,1,0.0,0.0
40.5,0.0,0.0,0.0,0,0,1,0.0,0.0
43.5,0.0,0.0,0.0,0,0,1,0.0,0.0
46.5,0.0,0.0,0.0,0,0,1,0.0,0.0
49.5,0.0,0.0,0.0,0,0,1,0.0,0.0
52.5,0.0,0.0,0.0,0,0,1,0.0,0.0
55.5,0.0,0.0,0.0,0,0,1,0.0,0.0
58.5,0.0,0.0,0.0,0,0,1,0.0,0.0
61.5,0.0,0.0,0.0,0,0,1,0.0,0.0
64.5,0.0,0.0,0.0,0,0,1,0.0,0.0
67.5,0.0,0.0,0.0,0,0,1,0.0,0.0
70.5,0.0,0.0,0.0,0,0,1,0.0,0.0
73.5,0.0,0.0,0.0,0,0,1,0.0,0.0
76.5,0.0,0.0,0.0,0,0,1,0.0,0.0
79.5,0.0,0.0,0.0,0,0,1,0.0,0.0
82.5,0.0,0.0,0.0,0,0,1,0.0,0.0
85.5,0.0,0.0,0.0,0,0,1,0.0,0.0
88.5,0.0,0.0,0.0,0,0,1,0.0,0.0
91.5,0.0,0.0,0.0,0,0,1,0.0,0.0
94.5,0.0,0.0,0.0,0,0,1,0.0,0.0
97.5,0.0,0.0,0.0,0,0,1,0.0,0.0
100.5,0.0,0.0,0.0,0,0,1,0.0,0.0
103.5,0.0,0.0,0.0,0,0,1,0.0,0.0
106.5,0.0,0.0,0.0,0,0,1,0.0,0.0
109.5,0.0,0.0,0.0,0,0,1,0.0,0.0
115.5,0.0,0.0,0.0,0,0,1,0.0,0.0
118.5,56.575147582950386,41.05834820413642,41.884080376894616,5,1,0,41.87199868605952,13.957332895353172
121.5,19.79752211416997,4.526036901930331,16.45173106018713,2,1,0,15.715990939200678,14.54355224330234
124.5,5.668391896999128,2.480866514943252,3.6754816882943433,11,2,0,4.530558146865565,11.205887544490082
127.5,55.52547355540952,2.8296089472646213,9.180043663287359,15,2,0,41.24548246507047,21.21908585135021
130.5,7.149501209926756,2.7160264966037055,5.589828045642611,21,2,0,5.712361540010232,16.05017774757022
133.5,35.49933386414525,3.421171659402563,12.8949836837528,18,2,0,27.67157753309256,19.92397767607767
136.5,10.99210807976841,6.025110505780399,6.986808567587828,31,2,0,8.771201885143983,16.206385745766443
139.5,31.11787532815749,6.5162252383925665,8.35187442478649,13,2,0,24.412623610707996,18.941798367413625
142.5,13.669918296119786,7.429503412106567,11.053840752747059,43,2,0,10.894463400320433,16.259353378382563
145.5,27.186246502959097,8.18502502610734,13.372665953273028,47,2,0,21.431458290444258,17.983388349069795
148.5,19.163466805357757,12.294997368619194,15.350307468429865,58,1,0,15.219975418521956,17.06225070555385
151.5,23.328980538666446,14.227654222670932,18.919063274509206,57,1,0,18.463733718229445,17.529411709779048
154.5,27.70030577172631,17.08458816240148,22.01686053312643,60,1,0,21.82393829544403,18.960920571667376
157.5,29.840646880684524,19.785599605489793,24.026561299414983,57,1,0,23.449541906282754,20.457127683205837
160.5,35.37906547801317,21.612240799572305,28.009138965416206,47,1,0,27.583129405673446,22.83246159069504
163.5,39.722637634726446,25.09956703504963,31.155767814683898,66,1,0,30.73646852695,25.467130569446695
166.5,42.6008374552565,29.124746951088316,32.925621451157646,41,1,0,32.774372485066564,27.90287787465332
169.5,48.03135539876569,31.146070213895722,36.49947202759091,45,2,0,36.48512554511198,30.76362709813954
172.5,51.86623916188412,36.60918966874089,39.237893600862584,34,1,0,38.98015131044804,33.50246850224238
175.5,60.27735318387347,35.32518074005812,39.9072399979225,56,2,0,43.989070903464984,36.99800263598325
178.5,53.809759849768334,32.70733155581674,37.9810035601257,58,2,0,40.198481676278774,38.06482898274842
181.5,50.807185445512225,32.70962148581969,38.791858744297365,37,2,0,38.30270680663792,38.14412159071159
184.5,47.798507562331444,27.159074841185355,38.195997196453355,23,2,0,36.33004773105705,37.53943030416008
187.5,55.700345658570676,16.90106620778438,41.52833736435334,11,2,0,41.35061636348854,38.80982565726957
190.5,49.33121848711606,28.02669278698676,37.54990754818174,29,2,0,37.34356474524838,38.321072019929176
193.5,63.04446389698549,29.937154251619063,37.82115596763153,28,2,0,45.46756175160049,40.703235263819614
196.5,55.39208460423356,36.59674476379531,42.10480919061317,11,1,0,41.1650877281947,40.857186085277974
199.5,59.80966194438174,34.51336259261732,43.730043943236666,11,2,0,43.730043943236666,41.81480537126421
202.5,42.798124148267526,30.61616837488186,33.41487101515212,18,1,0,32.91238738901981,38.84733271051608
205.5,50.50750351459201,32.4758391791896,38.67943417002334,13,1,0,38.10934963715845,38.6013383527302
208.5,57.10785964707264,29.60533577554043,43.290472284955904,11,1,0,42.185699784440445,39.79612549663362
211.5,61.28616010497769,28.994647068730707,42.51041233913948,22,2,0,44.53899368514636,41.37708155947121
214.5,55.79616375110233,28.252544882811243,39.633239352957474,21,2,0,41.40809536000234,41.38741949298159
217.5,57.33747908789267,36.4139748687641,42.78040206992452,7,1,0,42.32001182031933,41.69828360209417
220.5,52.87186079498378,26.15443346814478,39.27016105236304,25,2,0,39.61467727970892,41.003748161299086
223.5,57.56612722886794,23.711273152816723,40.24829620642608,29,2,0,42.45320680609578,41.48690104289798
226.5,52.724235513554746,6.439576622364618,37.911005274653036,37,2,0,39.522075951042964,40.83195934561298
229.5,43.82452336994794,6.36692329417386,33.98565795471338,54,2,0,33.62674954391814,38.430222745048034
232.5,34.283651902638,18.25923289195714,27.636475554762217,49,2,0,26.77479196882018,34.545079152972086
235.5,55.05300760007795,7.981099615447371,24.732195506845777,50,2,0,40.959947650511204,36.68336865215179
238.5,26.66523821028216,15.750834951656879,21.44325079732733,41,2,0,21.032904445213227,31.46654724983894
241.5,47.2799018160045,12.953895798669627,20.71606177604222,39,2,0,35.98327035821942,32.9721216192991
244.5,45.491385047089814,4.092295823088275,30.045458872999966,53,2,0,34.77319560339142,33.57247961399654
247.5,40.475460157808946,6.298079957782216,19.73173165979774,52,2,0,31.27377185314555,32.80624369371288
250.5,46.63008152884106,5.4323886363622265,22.80991789533589,28,2,0,35.54610997786223,33.719532455096
253.5,43.358787169166135,3.254092375349482,32.91091839439474,26,2,0,33.30337387720241,33.58081292913147
256.5,12.211832359211009,4.910552238994563,10.099900417329579,26,2,0,9.739328520229051,25.633651459497333
259.5,29.099158341679136,6.158452753049415,7.4747471404491765,23,2,0,22.8879822544207,24.718428391138456
262.5,9.587576166210793,5.951393912754755,7.683634143241348,5,1,0,7.654567838051652,19.030474873442856
265.5,4.685418421091666,2.868269807160057,4.020813306271603,21,1,0,3.7456005312219953,13.935516759369236
