time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
0.387099,0.1024,0.08734882831093098,-0.1574,-0.11282109156808455,0.087,-0.02818740016704194,0.21,0.1807069432555682
0.40259,0.1368,0.08976108058844653,-0.1358,-0.113942013930617,0.0458,-0.024578258695478916,0.2,0.18164806797480876
0.406502,0.1469,0.09254834494998572,-0.1029,-0.11340337910473323,0.0167,-0.022564685100577502,0.18,0.181567674415062
0.416192,0.184,0.09700940129388884,-0.0589,-0.11074467768499015,0.0189,-0.020542017534695672,0.19,0.18197900737042483
0.425259,0.2192,0.10296991830394304,-0.0393,-0.10725957145645404,0.0548,-0.01686679716714954,0.23,0.18432149481576995
0.434679,0.2071,0.1080494344842385,-0.0796,-0.10591032406833432,0.0571,-0.013258660719971513,0.23,0.18654971458085434
0.450583,0.1847,0.1117884864606171,-0.1156,-0.10638299118695216,0.0715,-0.009124091904363146,0.23,0.18866924069886146
0.4684,0.3744,0.12459880419424553,-0.0408,-0.10318382088514962,0.5921,0.02020391257877652,0.7,0.21361220456720967
0.472188,0.5413,0.14492569179452625,0.0098,-0.09767241498831304,0.9318,0.06467201440420206,1.08,0.2558750238566141
0.485892,0.8299,0.17833907268259813,-0.1078,-0.0981664435254685,1.2948,0.12467825760399709,1.54,0.3185152665953158
0.491547,0.9823,0.2175566788932031,-0.2553,-0.10583149506081149,1.4227,0.18799639137941188,1.75,0.3883437901760321
0.50065,0.9469,0.2531344018740224,-0.2045,-0.11064459286272312,1.3685,0.245581933263343,1.68,0.4513514101674452
0.510262,0.7984,0.2797327237338262,-0.1651,-0.11330095418649272,1.1922,0.2917584243236677,1.44,0.499578170647082
0.526066,0.5945,0.295087225015103,-0.1835,-0.11672529788471257,0.8957,0.32121898899080586,1.09,0.5283792354935658
0.529159,0.4205,0.30120492135582966,-0.2364,-0.12256308823179976,0.5244,0.33113025782052263,0.71,0.5372387849816845
0.543669,0.2791,0.3001266325092038,-0.2803,-0.13025757173268757,0.1735,0.32344097695122886,0.43,0.5320076247386756
0.547875,0.1965,0.29507167482582797,-0.3361,-0.14029866579450767,-0.1385,0.300907270758486,0.41,0.5260560332880084
0.561252,0.1722,0.28907793459042175,-0.3632,-0.15117190160940974,-0.4312,0.2651947209653891,0.59,0.5291752511763983
0.567331,0.1411,0.2818594987567426,-0.2953,-0.15820254055529218,-0.6142,0.2222974175036628,0.7,0.5375081657531594
0.57704,0.0466,0.27038342564665757,-0.1705,-0.15880241662576572,-0.8528,0.16985364104006948,0.87,0.5537272796188589
0.592096,0.0572,0.2599842341516987,-0.1166,-0.1567437621562162,-1.0228,0.11167541464787095,1.03,0.5769600952472073
0.595523,0.0661,0.2505264666321036,-0.1107,-0.15449772497786415,-1.1342,0.050901004177243095,1.14,0.6044254564546605
0.609479,0.053,0.2408910292354156,-0.1702,-0.15526368961309028,-1.0272,-0.001689288709451689,1.04,0.6256729951641893
0.6167,0.0118,0.22971585707759043,-0.2399,-0.1593922901197688,-0.8767,-0.04437273804069795,0.91,0.6395426051561801
0.627247,-0.0859,0.21431996161039088,-0.2737,-0.16496827596758495,-0.5673,-0.06988138496554196,0.64,0.639564917099781
