time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
4.5,61.5867593666142,16.178207199861028,47.37503118532431,8,2,0,57.23199001653445,57.23199001653445
7.5,61.79866026386286,47.35099585495618,57.40412165380162,19,2,0,57.4099114777367,57.29129717026854
10.5,53.234151638111506,49.984249352170046,49.984249352170046,1,1,0,49.984249352170046,54.85561456423571
13.5,15.228399823897016,7.430759800599017,14.543742475152948,4,2,0,14.543742475152948,41.41832386787479
16.5,27.0024530069192,2.968553469288853,18.784254325400724,8,2,0,25.72593198170874,36.18752657248611
19.5,58.18649724135793,9.980662591415403,42.98680500336181,7,2,0,54.33183614227542,42.23562976241588
22.5,61.50967934927217,20.204874479755183,56.557943018620406,8,2,0,57.16718122126708,47.21281358203295
25.5,61.64769740365616,7.9208952930459535,56.83297486151002,25,2,0,57.283193190737165,50.56960678493436
28.5,23.20962829862694,10.761412945645278,23.795746082270856,20,2,0,22.133724618121864,41.09097939599687
31.5,56.367403646512344,9.91642067425354,52.94542881073783,8,2,0,52.74980916906551,44.97725598701975
34.5,38.32861184311808,7.686129362375717,38.69986452939416,5,2,0,36.36339074990925,42.10596757464958
37.5,55.8590173581011,8.70084804537887,52.465457694171675,29,2,0,52.304384495064355,45.50543988145451
40.5,37.01246998906513,8.283182291212011,19.990972471623362,17,2,0,35.13618537333021,42.04902171207974
43.5,47.52916380565068,14.400587997292561,35.549470289949305,27,2,0,44.844971905263584,42.98100510980769
46.5,43.15804384323276,16.247322914633184,40.83931357916365,59,2,0,40.83931357916365,42.26710793292635
49.5,45.50382893993233,18.554917691110532,41.309019000518056,57,2,0,42.99515611315943,42.50979065967071
52.5,51.47025796685662,25.2027348101397,48.78003010912456,64,2,0,48.40802231557107,44.47586787830417
55.5,54.80071044911188,30.61011887682607,50.320311413233014,70,2,0,51.37289245222009,46.774876069609476
58.5,58.440993142892296,30.645392591258645,53.93050976532785,65,2,0,54.5516028705718,49.36711833659692
61.5,63.63023217466397,40.3640627989,58.64169442876122,75,2,0,58.93196929850957,52.5554019905678
64.5,63.820553958061936,46.25989530647688,58.67860962799607,43,2,0,59.088404635825746,54.733069538987124
67.5,64.58240892073061,44.38285104865493,58.34644117223824,38,2,0,59.71111358272307,56.39241755356578
70.5,64.16657691070137,42.32816909643076,59.12497349439882,38,2,0,59.371933671936674,57.38558959302274
73.5,64.24468902425431,42.317163095160204,59.19720914510236,40,2,0,59.435777607112,58.06898559771916
76.5,63.861705117147544,48.27918959995465,59.128442633361814,49,2,0,59.12218384605799,58.42005168049877
79.5,62.793874925173895,40.47906679057828,55.55403519207626,34,2,0,58.24057547160644,58.360226277534665
82.5,63.279041374745916,41.85754311320266,57.639758397461044,39,2,0,58.64242162752646,58.4542913941986
85.5,62.808942488886125,42.36486639704403,57.448846251593125,48,2,0,58.253086809225124,58.38722319920744
88.5,61.742877300772655,39.52493035575175,57.38454108434512,33,2,0,57.36310860468616,58.04585166770035
91.5,62.42091475328428,42.402322124309855,55.28494815977722,62,2,0,57.930261002941755,58.00732144611415
94.5,60.798129992083254,38.361924053200774,56.33314666826528,37,2,0,56.5667270662088,57.52712331947904
97.5,62.2541235210486,36.832177438630026,57.82903145215129,43,2,0,57.79110091062936,57.615115849862484
100.5,63.86031889410639,38.34535584097667,57.1251837227864,40,2,0,59.121046217770036,58.117092639165
103.5,61.96704953805081,37.66572709179644,57.230522124661235,38,2,0,57.551039802284734,57.92840836020492
106.5,63.68104014027307,47.971903022721435,59.029168999125005,37,2,0,58.973764368698745,58.2768603630362
109.5,63.80323994170828,36.994678102344764,57.461028103028376,31,2,0,59.07418749638989,58.5426360741541
112.5,63.290308825320615,32.41135801675666,58.32661644201735,43,2,0,58.65172893515743,58.57900036115522
115.5,57.83284428667368,34.75061648529444,53.87547584942614,51,2,0,54.02578372341193,57.06126148190746
118.5,57.178770511988695,38.9246281848208,53.56703505045024,61,2,0,53.457785370272504,55.860102778029145
121.5,55.827897267428604,30.62201329317259,52.297670214481855,73,2,0,52.277074393594425,54.665759983217576
124.5,56.2240482007201,26.95920395108964,50.348276312261824,67,2,0,52.62434650770757,53.985288824714246
127.5,55.80041196414334,21.575848079688278,49.60027391007417,57,2,0,52.252949902546156,53.40784251732488
130.5,43.07169309481585,17.515161244629173,41.71442550554025,40,2,0,40.759705502810945,49.191796845820235
133.5,60.766589576769086,16.694258783741855,56.80986289654526,41,2,0,56.540021781149,51.641205157596495
136.5,62.310441196968654,8.777143442831251,57.83813940766089,37,2,0,57.838115072896066,53.70684179602969
139.5,62.130242687534405,6.720120265924202,57.66512380291573,42,2,0,57.68759137990361,55.03375832398767
142.5,62.3398203715673,7.407475931695342,56.85001231855731,28,2,0,57.86263029754852,55.976715648507955
145.5,61.593314279209345,13.252291414340148,57.14772546096316,29,2,0,57.23749920193785,56.39697683298459
148.5,61.6014672606685,7.256048285945178,56.86638500652172,17,2,0,57.24435103338154,56.67943489978358
151.5,60.11865592769558,9.847079692651992,55.472425086633024,18,2,0,55.98979704066149,56.44955561340956
