time,a_xy,EMA a_xy
0.003865,1.4416997086772267,1.4416997086772267
0.011246,1.0453569820879371,1.422365917136286
0.015704,0.5138020727867881,1.3780457296070419
0.031003,0.5333875232886498,1.3368428902744371
0.039482,0.73766583898131,1.3076147414308699
0.04782,0.9283965208896466,1.2891162916483712
0.056603,0.962518664754092,1.2731847000925527
0.065138,1.1908650469301716,1.2691691072553635
0.073993,1.2033840450994853,1.2659600798331254
0.088745,1.0301417620890827,1.254456747260245
0.09706,1.0564964600035345,1.2448001478818689
0.10684,1.2026267334464174,1.2427429081533103
0.116153,1.6508019899430701,1.2626482292162253
0.124482,1.454356410925465,1.2719998478361882
0.138355,2.364758154653452,1.325305131095567
0.147345,1.5855824450340008,1.338001585434027
0.156579,0.7442269076027821,1.3090369670032347
0.16517,0.6426377050873999,1.2765296859341695
0.173715,0.6215502071433973,1.2445794674565709
0.18772,1.0045710178976894,1.2328717382097962
0.198679,1.7293362339348586,1.2570895184890674
0.207714,2.941124854541201,1.3392375836623422
0.215928,2.1601764974186715,1.3792833843333827
0.22419,2.4352438276279442,1.4307936498599465
0.237452,5.035560084042291,1.6066359149420122
0.246248,4.635830830606311,1.754401520584173
0.257018,3.708660605933091,1.849731232064608
0.265474,3.4393021879445254,1.9272712786928965
0.273767,3.2010443373999053,1.9894065498493358
0.286774,1.7452054606836411,1.9774943015973507
0.297969,1.112493433688487,1.9352991373091133
0.30676,1.0744105779449493,1.8933045734376905
0.315323,0.688877412897244,1.8345520290210833
0.323768,0.37434391941101436,1.763322365137665
0.336333,1.371473182384548,1.7442077708570252
0.346774,1.7186969628180528,1.7429633411965875
0.357711,1.8278648199470333,1.7471048767453896
0.366109,2.199972963470233,1.7691960029270892
0.374044,3.1582360678074712,1.8369540548724737
0.385459,4.4027865744321515,1.962116616802214
0.397855,4.58269638095303,2.089949776029083
0.407113,4.490706040256922,2.2070598376987336
0.41601,4.46960923571625,2.317428101016661
0.424389,11.407549388453244,2.7608486516233235
0.433557,7.901339173836293,3.0116042868532245
0.443494,3.4063077518039973,3.0308581144117985
0.460329,2.73060654251029,3.0162116962702616
0.4678,2.3667841557691736,2.9845323040506964
0.48241,3.086429258868572,2.9895028872125438
0.484719,3.244039953514753,3.001919329471188
0.499255,4.1275424407266845,3.0568277739226755
0.507663,4.335619681198986,3.119207866960544
0.517245,4.278025661447112,3.1757355642525713
