time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
1.5,0.0,0.0,0.0,0,0,1,0.0,3.078197491650921e-06
4.5,0.0,0.0,0.0,0,0,1,0.0,4.617296237476381e-06
7.5,0.0,0.0,0.0,0,0,1,0.0,6.925944356214571e-06
10.5,0.0,0.0,0.0,0,0,1,0.0,1.0388916534321855e-05
13.5,0.0,0.0,0.0,0,0,1,0.0,1.558337480148278e-05
16.5,0.0,0.0,0.0,0,0,1,0.0,2.3375062202224168e-05
19.5,0.0,0.0,0.0,0,0,1,0.0,3.506259330333625e-05
22.5,0.0,0.0,0.0,0,0,1,0.0,5.259388995500436e-05
25.5,0.0,0.0,0.0,0,0,1,0.0,7.889083493250653e-05
28.5,0.0,0.0,0.0,0,0,1,0.0,0.00011833625239875977
31.5,0.0,0.0,0.0,0,0,1,0.0,0.00017750437859813964
34.5,0.0,0.0,0.0,0,0,1,0.0,0.00026625656789720944
37.5,0.0,0.0,0.0,0,0,1,0.0,0.00039938485184581407
40.5,0.0,0.0,0.0,0,0,1,0.0,0.000599077277768721
43.5,0.0,0.0,0.0,0,0,1,0.0,0.0008986159166530815
46.5,0.0,0.0,0.0,0,0,1,0.0,0.0013479238749796222
49.5,0.0,0.0,0.0,0,0,1,0.0,0.002021885812469433
52.5,0.0,0.0,0.0,0,0,1,0.0,0.003032828718704149
55.5,0.0,0.0,0.0,0,0,1,0.0,0.0045492430780562235
58.5,0.0,0.0,0.0,0,0,1,0.0,0.006823864617084335
61.5,0.0,0.0,0.0,0,0,1,0.0,0.010235796925626501
64.5,0.0,0.0,0.0,0,0,1,0.0,0.01535369538843975
67.5,0.0,0.0,0.0,0,0,1,0.0,0.023030543082659623
70.5,0.0,0.0,0.0,0,0,1,0.0,0.03454581462398943
73.5,0.0,0.0,0.0,0,0,1,0.0,0.05181872193598414
76.5,0.0,0.0,0.0,0,0,1,0.0,0.0777280829039762
79.5,0.0,0.0,0.0,0,0,1,0.0,0.11659212435596429
82.5,0.0,0.0,0.0,0,0,1,0.0,0.17488818653394642
85.5,0.0,0.0,0.0,0,0,1,0.0,0.2623322798009196
88.5,0.0,0.0,0.0,0,0,1,0.0,0.3934984197013794
91.5,0.0,0.0,0.0,0,0,1,0.0,0.590247629552069
94.5,0.0,0.0,0.0,0,0,1,0.0,0.8853714443281033
97.5,0.0,0.0,0.0,0,0,1,0.0,1.3280571664921548
100.5,0.0,0.0,0.0,0,0,1,0.0,1.992085749738232
103.5,0.0,0.0,0.0,0,0,1,0.0,2.9881286246073477
106.5,0.0,0.0,0.0,0,0,1,0.0,4.482192936911021
109.5,0.0,0.0,0.0,0,0,1,0.0,6.723289405366531
115.5,0.0,0.0,0.0,0,0,1,0.0,10.084934108049795
118.5,56.57514758295039,41.05834820413642,41.884080376894616,5,1,0,41.87199868605952,15.127401162074692
121.5,19.79752211416997,4.526036901930331,16.45173106018713,2,1,0,15.715990939200678,15.712435295435451
124.5,5.668391896999128,2.480866514943252,3.6754816882943433,11,2,0,4.530558146865565,16.296876821502007
127.5,55.52547355540952,2.8296089472646213,9.18004366328736,15,2,0,41.24548246507047,18.842371460007968
130.5,7.149501209926756,2.716026496603705,5.589828045642611,21,2,0,5.712361540010232,17.654014264336844
133.5,35.49933386414525,3.421171659402563,12.8949836837528,18,2,0,27.67157753309256,18.455932522720154
136.5,10.99210807976841,6.025110505780399,6.986808567587828,31,2,0,8.771201885143983,17.721909946041393
139.5,31.11787532815749,6.516225238392567,8.35187442478649,13,2,0,24.412623610708,18.47967204617887
142.5,13.669918296119786,7.429503412106567,11.05384075274706,43,2,0,10.894463400320433,18.248608885561485
145.5,27.186246502959097,8.18502502610734,13.372665953273028,47,2,0,21.431458290444255,19.243236639150943
148.5,19.16346680535776,12.294997368619194,15.350307468429865,58,1,0,15.219975418521956,19.87316078419152
151.5,23.32898053866645,14.227654222670932,18.91906327450921,57,1,0,18.463733718229445,21.278615823510354
154.5,27.70030577172631,17.08458816240148,22.01686053312643,60,1,0,21.82393829544403,23.153217880376005
157.5,29.840646880684524,19.785599605489796,24.026561299414983,57,1,0,23.449541906282757,25.249366534730317
160.5,35.37906547801317,21.612240799572305,28.00913896541621,47,1,0,27.583129405673446,27.64548596049255
163.5,39.722637634726446,25.09956703504963,31.155767814683895,66,1,0,30.73646852695,30.051998145391302
166.5,42.6008374552565,29.12474695108832,32.925621451157646,41,1,0,32.774372485066564,32.3444319333636
169.5,48.03135539876569,31.14607021389572,36.49947202759091,45,2,0,36.48512554511198,34.56520896271874
172.5,51.86623916188412,36.60918966874089,39.23789360086258,34,1,0,38.98015131044804,36.46599989500834
175.5,60.27735318387347,35.32518074005812,39.9072399979225,56,2,0,43.98907090346498,37.94776559139132
178.5,53.809759849768334,32.70733155581674,37.9810035601257,58,2,0,40.19848167627877,38.42264706909535
181.5,50.80718544551223,32.70962148581969,38.791858744297365,37,2,0,38.30270680663792,38.6015561122688
184.5,47.79850756233144,27.159074841185355,38.19599719645336,23,2,0,36.33004773105705,38.830273373047405
187.5,55.70034565857068,16.90106620778438,41.52833736435334,11,2,0,41.35061636348854,39.47569490749106
190.5,49.33121848711606,28.02669278698676,37.54990754818174,29,2,0,37.34356474524838,39.808629532601806
193.5,63.04446389698549,29.937154251619063,37.82115596763153,28,2,0,45.46756175160049,40.55240828893812
196.5,55.39208460423356,36.59674476379531,42.10480919061317,11,1,0,41.1650877281947,40.47699480149737
199.5,59.80966194438174,34.51336259261732,43.730043943236666,11,2,0,43.730043943236666,40.28689915960706
202.5,42.798124148267526,30.61616837488186,33.41487101515212,18,1,0,32.91238738901981,39.52294605377848
205.5,50.50750351459201,32.4758391791896,38.67943417002334,13,1,0,38.10934963715845,39.86075272540968
208.5,57.10785964707264,29.60533577554043,43.290472284955904,11,1,0,42.185699784440445,40.490459911749426
211.5,61.28616010497769,28.994647068730707,42.51041233913948,22,2,0,44.53899368514636,40.83762711930733
214.5,55.79616375110233,28.252544882811243,39.633239352957474,21,2,0,41.40809536000234,40.56789989922538
217.5,57.33747908789267,36.4139748687641,42.78040206992452,7,1,0,42.32001182031933,40.15814010234727
220.5,52.87186079498378,26.15443346814478,39.27016105236304,25,2,0,39.61467727970892,39.38806835247381
223.5,57.56612722886794,23.711273152816723,40.24829620642608,29,2,0,42.45320680609578,38.58022844806117
226.5,52.724235513554746,6.439576622364618,37.91100527465304,37,2,0,39.52207595104296,37.12689215064276
229.5,43.82452336994794,6.36692329417386,33.98565795471338,54,2,0,33.62674954391814,35.274358553157654
232.5,34.283651902638,18.25923289195714,27.636475554762217,49,2,0,26.77479196882018,33.69642645721245
235.5,55.05300760007795,7.981099615447371,24.732195506845777,50,2,0,40.9599476505112,33.272100109332634
238.5,26.66523821028216,15.75083495165688,21.44325079732733,41,2,0,21.032904445213227,31.566465837923054
241.5,47.2799018160045,12.953895798669627,20.71606177604222,39,2,0,35.98327035821942,31.61642513196511
244.5,45.49138504708981,4.092295823088275,30.04545887299997,53,2,0,34.77319560339142,30.93857688829811
247.5,40.47546015780895,6.298079957782216,19.73173165979774,52,2,0,31.27377185314555,29.621625525448888
250.5,46.63008152884106,5.4323886363622265,22.80991789533589,28,2,0,35.54610997786223,28.02931644131689
253.5,43.358787169166135,3.254092375349482,32.91091839439474,26,2,0,33.30337387720241,25.184208434427333
